,Name,Variants,Manufacturer,Prescription,Price,Offer Price,Product Link,Description,Categor or Sub Category,Availablity,Image Link
0,SBL Tonicard Gold Drop Homeopathic Medicine,bottle of 100 ml Drop,SBL Pvt Ltd,Not Required,₹336,"(['Pack of 2', '₹648'], ['Pack of 3', '₹947.7'])",https://www.1mg.com/otc/sbl-tonicard-gold-drop-homeopathic-medicine-otc329006,"SBL Tonicard Gold Drop Homeopathic Medicine Various factors such as stress, unhealthy eating habits, smoking, sedentary lifestyle, family history and diabetes can lead to heart problems.. SBLs Tonicard Gold Drops is a wonder heart tonic comprising beneficial herbs to keep the heart protected from various diseases and helps live a healthy life. It acts as preventive for those proneand can be used as an adjunct for those suffering from various heart disorders and taking allopathic treatment.  COMPOSITION: Cactus grandiflorus Q, Crataegus oxyacantha Q, Convallaria majalis Q, Valeriana offinalis Q, Strophanthus hispidus Q, Aurum muriaticum natronatum 3x, Camphora 2x  INDICATIONS:  SBLs Tonicard Gold Drops- Tones up heart muscles. Relieves palpitation, breathlessness and rapid heart beat.Improves circulation of blood to heart as well as other parts of the body.Decreases the progression of arteriosclerosis.Acts as an excellent adjunct to cardiac therapies. Heart tonic for healthier heart circulation.  CONTRAINDICATIONS: No known.  DOSAGE: 20-30 drops in 1/4th cup of water, 3 times a day. For sudden unexpected symptoms 40 drops or as prescribed by the physician  PRESENTATION: Bottle of 30 ml.", -> Home -> Featured -> Top Brands,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/vx5wbupdqyknqmzzvhfq.jpg"
1,Dr Ortho an Ayurvedic Medicine Oil,bottle of 120 ml Oil,Dr Ortho Ayurvedic,Not Required,₹227,"(['No Offer Price'], [' '])",https://www.1mg.com/otc/dr-ortho-an-ayurvedic-medicine-oil-otc327460,"Dr. Ortho oil is an ayurvedic herbal pain relieving oil which is prepared from the extracts of eight different herbs. Each herb has distinctive properties to combat pain in several regions of the body including muscles, legs, neck, shoulders, joints and back. It is useful in providing relief from joint pain, it also acts a muscle pain relief oil, and an ayurvedic oil for shoulder pain. Key Ingredients:Flaxseed OilCamphor oilPeppermint OilTil OilKey Benefits:The active components of these herbs stimulate blood circulation within stiff muscles and limbsThey relieve body ache, muscular pains, severe joint pain or swellingThe oil is absorbed quickly and spreads over the affected areaThe flaxseed oil contains essential fatty acids specifically, omega 3-fatty acids, which has the capability to reduce inflammation in joints and musclesIt has analgesic and anti-inflammatory properties Pepper mint oil is very effective in treating chronic painIt has saponins and flavonoids which suppress enzymes responsible for inflammationVitex negundo is beneficial in treating neuralgia, aches and painsSesamum indicum which is known as Til oil helps relieve mild to severe painDirections For Use:Dr. Ortho oil is indicated during pain in different parts of the body including muscles, legs, neck, shoulders, joints and back.Safety Information:Use under medical supervisionStore in a cool and dry placeKeep away from children", -> Home -> Personal Care -> Elderly Care -> Bone & Joint Health,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/cropped/qjz8l72piinjwwynexks.png"
2,Dr. Morepen Iron & Zinc with Vitamin C & B12 Tablet,bottle of 60 tablets,Dr. Morepen Limited,Not Required,₹329,"(['No Offer Price'], [' '])",https://www.1mg.com/otc/dr.-morepen-iron-zinc-with-vitamin-c-b12-tablet-otc670768,"Morepen Iron & Zinc with Vitamin C & B12 Tablet provides the goodness of iron with the extra benefits of vitamin C and B12. It helps in maintaining an ideal HB and iron level and even build immunity in the body.Dr. Morepen Iron Zinc tablets keep sufficient iron reserve with vitamin B12 and iron, maintain HB level and zinc to supply oxygen to different parts of the body and keep immunity intact with ample vitamin C and count of RBCs. It is most suitable for people suffering from iron deficiency or anaemia.Key Ingredients:Microcrystalline celluloseCroscarmellose sodium colloidal silicon dioxideMagnesium stearatePVPK 30Talcum PowderKey Benefits:REDUCES FATIGUE: The Iron-Zinc tablets have been scientifically formulated with iron, zinc, vitamin C and vitamin B12 to help prevent iron deficiency in people – the major cause of fatigue and weakness in the bodyMAINTAINS HAEMOGLOBIN: The powerful combination of iron with zinc works to boost HB levels more effectively than just iron supplements. It even helps reduce hair fall and other anaemic symptomsHEALTHY RBCs: It contains the actual form of folic acid which helps in developing healthy red blood cells. It provides you with enough vitamin B12 and iron to maintain the count of red blood cellsBETTER OXYGEN AND NUTRIENTS: It helps keep an ideal count of red blood cells and so haemoglobin in the body, which are most necessary for delivering oxygen and nutrients to all parts of the bodyBOOSTS IMMUNITY: Iron infused with Vitamin C helps keep the internal immune system strong and support the multiplication of immune cells in the body, keeping you healthy and fitTRUST AND QUALITY: Our iron and zinc tablets are vegetarian and safe to consume. Dr Morepen ensures to provide the highest quality formulation with rigorous checks and testing. We bring the trust and credibility of more than 20 years to give you the best of nature backed by scienceDirections For Use:Take 1 tablet a day after meal or as directed by your healthcare professional.Safety Instructions:Read the label carefully before useStore in a cool dry place away from direct sunlightKeep out of reach of the childrenKeep the bottle closed", -> Home -> Vitamins & Nutrition -> Immunity Boosters,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/hnhebh4vnjbhdtko5vfe.jpg"
3,Dr. Reckeweg R40 Diabetes Drop Homeopathic Medicine,bottle of 22 ml Drop,Dr Reckeweg & Co,Not Required,₹238,"(['Pack of 2', '₹459'], ['Pack of 3', '₹672.3'])",https://www.1mg.com/otc/dr.-reckeweg-r40-diabetes-drop-homeopathic-medicine-otc326035,"Dr. Reckeweg R40 Diabetes Drop Homeopathic Medicineaids in maintaining liver health, regulating excessive thirst, and regulating blood sugar levels in the body. It also aids in regulating urine sugar levels, reduces inflammation, and alleviates chronic fatigue.  Key Ingredients: Acidum phosphoricumArsenicum albumLycopodiumNatrium sulfuricumPhaseolus nanusSecale cornutumUranium nitricum Key Benefits: It provides relief from symptoms of anaemia and leukaemiaIt helps in maintaining liver health, regulates excess thirst and aids in maintaining the blood sugar levels in the bodyIt helps in regulating the levels of sugar in the urine, reduces inflammation and relieves chronic fatigue Directions For Use: Use as directed on the label or as advised by the physician Safety Information: Read the label carefully before useDo not exceed the recommended dosageStore in a cool and dry place away from direct sunlightKeep out of reach of children", -> Home -> Diabetes -> Diabetic Medicines -> Homeopathy Medicines,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/h5aceivwzqivmqbpis7p.jpg"
4,Shelcal 500 Tablet,strip of 15 tablets,Torrent Pharmaceuticals Ltd,Not Required,₹102,"(['No Offer Price'], [' '])",https://www.1mg.com/otc/shelcal-500-tablet-otc137210,"It helps in keeping your bones strong and prevents osteoporosis. Calcium is used for building and maintaining healthy bones. Our body can get calcium from one of two sources namely food/diet or bones. When food fails to meet your body’s calcium requirements, it borrows it from your bones. If this happens over a period of time then it leads to bone loss. It contains calcium as well as Vitamin D3. Calcium is also essential for heart, muscle, and nerve functions and also aids in the clotting of blood. This mineral also helps to treat and manage osteoporosis and to prevent calcium deficiency in pregnant and breastfeeding women.  The primary function of Vitamin D3 in the body is to maintain healthy and strong bones. It does so by ensuring calcium absorption in the gut and by maintaining adequate levels of two minerals essential for bone health, calcium, and phosphorus.Key ingredients:Calcium: 500 mgVitamin D3 (cholecalciferol): 250 IUKey benefits/uses of Shelcal 500 Tablet:1. To treat calcium deficiency due to:Inadequate dietary intakeHypoparathyroidism (reduced production of parathyroid hormones which regulate the levels of calcium and phosphorous in the body)Kidney failurePancreatitis (Inflammation of the pancreas)Certain medicines such as corticosteroids, anticonvulsants, and rifampicinLiver disease, causing low albumin levels which might affect calcium levels2. To treat Vitamin D3 deficiency due to:Decreased function of the kidneysInadequate absorption of Vitamin D3 by the digestive tract (due to conditions like Crohn’s disease, celiac disease, and cystic fibrosis)3. To increase the levels of Vitamin D3 in the milk of breastfeeding women. Vitamin D3 requirements of breastfed infants cannot be met by human milk alone. Hence, mothers are advised for supplementation of Vitamin D3.4. To increase Vitamin D3 levels in elderly people because due to age and a long time spent indoors, their skin fails to synthesize Vitamin D3 efficiently.5. To improve levels of Vitamin D3 in people with fat malabsorption whose intestine fails to absorb fat from the diet, thereby reducing the absorption of Vitamin D3 which needs dietary fat to get used by the body.Direction for use:Take Shelcal 500 as directed by your physician. In general, it is best to take it after meals, as the source of calcium in Shelcal 500 is calcium carbonate, which is absorbed well in the presence of food.Quick tips for Shelcal 500 Tablet:If you think that your diet fails to meet the daily dose of calcium, consult your doctor before you decide on taking supplements.Do not take iron and calcium supplements together, as the absorption of calcium may get hindered.It is not advised in people suffering from tissue calcification, malabsorption, kidney problems or blood cancer.To avoid overdosing on these supplements, inform your doctor if you are taking any other product containing Vitamin D or calcium along with Shelcal 500 tablets.Do not take these supplements if you are allergic to Vitamin D, calcium or any other ingredients present in this medicine.In case you miss a dose, take it as soon as you remember. However, if it's almost time for the next dose, skip the dose you missed and take your next dose at the scheduled time.Side-effects of Shelcal 500 Tablet:Some of the common side-effects of this tablet include:ConstipationVomiting & nauseaLoss of appetiteFeeling thirstyBone painStomach painFrequent urinationMuscle weaknessHigh level of calcium in urineStorage and safety information:Read the label carefully before use.Do not exceed the recommended dose.Keep out of the reach and sight of children.Use under medical supervision.Do not take too much of this medicine as this may lead to overdose.Why Do You Need Calcium & Vitamin D Supplements?Your body cannot produce calcium on its own, so you have to rely on diet and supplements to meet your calcium needs. A lack of calcium could lead to a condition called rickets in children and osteomalacia or osteoporosis in later life. The symptoms of calcium deficiency include: Weak nails that break easilyDry and rough hairDry and scaly skinMuscle crampsForgetfulness (in severe cases)Confusion (in severe cases)Feeling sad (in severe cases)Hallucinations (seeing, hearing, smelling, or feeling things that don’t exist)Vitamin D is a fat-soluble vitamin that is naturally present in very few foods but is available as a dietary supplement. Vitamin D supplements are available in two forms: Vitamin D2 (“ergocalciferol” or pre-vitamin D) and Vitamin D3 (“cholecalciferol”). While Vitamin D2 is produced in plants and fungi, Vitamin D3 is produced in animals, including humans. Vitamin D3 deficiency is said to be associated with: Difficulty in making decisions in old ageIncreased chances of severe asthma in childrenIncreased risk of death from heart diseases and cancersIncreased risk of osteoporosis (weak and brittle bones)Increased risk of osteomalacia (softening of the bones)Increases risk of rickets (a condition in which the mineralization of the bone tissue does not occur properly which can lead to bone softening and occurrence of bone deformities)How Much Calcium & Vitamin D Do You Need?Calcium: According to the Indian Council of Medical Research (ICMR) guidelines, the RDA of calcium depends on the age. The recommended dietary allowance (RDA) for Indians is as follows:Infants (0-1 years): 500 mgChildren (1-9 years): 600 mgTweens and Teens (10 – 18 years): 800 mgAdults: 600 mgPregnant and lactating women: 1200 mgVitamin D: The Indian Council of Medical Research (ICMR) recommends a daily supplement of 400 IU/day of Vitamin D3 for Indians with emphasis on outdoor activities to achieve adequate Vitamin D.If you are not meeting your daily requirement of Vitamin D3 or are suffering from Vitamin D3 deficiency, your calcium absorption may get affected. This is why supplements that contain calcium along with Vitamin D3, such as Shelcal 500 Tablet, are preferred. FAQs related to Shelcal 500 Tablet:Q. Is Shelcal 500 good for health?When your body has calcium deficiency, it fulfills that need by using the calcium present in your bones, thereby weakening them. It prevents this weakening of bones by supplementing your body with the amount of calcium it needs to keep the bones strong.Q. What is the difference between Shelcal 500 and Shelcal HD? Shelcal 500 Tablet, as the name suggests, contains calcium (500 mg) along with Vitamin D3 (250 IU), whereas Shelcal HD contains calcium (500 mg) and Vitamin D3 (500 IU). As you can see, while the calcium level is the same in both the tablets, the only difference is in their concentration of Vitamin D3. Q. Why do you need calcium?We all know that calcium plays a key role in maintaining strong bones and building strong teeth. This essential mineral also facilitates nerve signal transmission, helps in blood clotting, and aids in the contraction and relaxation of muscles.Since most of the calcium you obtain from your diet gets stored in bones and teeth, lack of this mineral can impair your bone health and up the risk of osteoporosis. This is the reason, you need to fulfill your daily needs of calcium to keep your bones healthy and to stay healthy.Q. What to do if you have low calcium levels?Based on your calcium blood test reports, your doctor may advise changes in your diet. For example, if your report shows low calcium levels, you might be asked to increase your intake of foods rich in calcium.Dietary sources include dairy products such as milk, yogurt, and cheese, and foods that have added calcium like breakfast cereals, soymilk, bread, and bottled water. In cases of severe calcium deficiency, calcium supplements might be prescribed. Remember that calcium supplements should always be taken as per your doctor’s advice.Q. Which foods are good sources of Vitamin D?Foods that contain Vitamin D3 include fish such as tuna and salmon, cereals, orange juice, soy milk, dairy products, cheese, egg yolks, and beef liver. The other common dietary sources include natural food sources like cod liver oil, mushrooms as well as Vitamin D3 fortified foods.Q. Why should one take Vitamin D supplements?Sunlight is the major source of Vitamin D3. Most people think that Indians have sufficient levels of this vitamin due to adequate sunshine all around the year. But owing to increased skin pigmentation and suntan, people apply sunscreen and cover their body with full layers of clothing which limits the exposure to UV rays, reducing the synthesis of Vitamin D3 in the body. Also, the availability of Vitamin D3 through diet is not widespread. Due to the lack of adequate sun exposure, deficient intake of foods rich in Vitamin D3, and lack of food fortification, Indians are susceptible to Vitamin D3 deficiency. This is why one needs to take Vitamin D supplements.Q. Can excess calcium be harmful?Dietary calcium is usually safe as it is unlikely to get amounts above the upper limits from food alone. If you take calcium supplements and eat calcium-rich/fortified foods, you may be getting more calcium than you realize; and more isn't necessarily better. Excess calcium can cause bloating, constipation, and an increased risk of heart disease, kidney stones, as well as prostate cancer.Q. Should I take a Shelcal 500 Tablet with or without food?As Vitamin D3 is fat-soluble, it has to be taken with fatty foods. Many people take it with milk. It is easiest to take Vitamin D3 with a meal, but you can also pair it with a fat like fish oil or a teaspoon of coconut oil. Also, Shelcal 500 Tablet contains calcium carbonate which needs to be taken with food as it requires stomach acid for absorption.References:Overview of Calcium.Nutrient Requirements for Indians. NIN. ICMR.", -> Home -> Personal Care -> Women Care -> Mother Care,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/rjl5upkgyuexb7pl1olo.jpg"
5,ADEL Diacard Gold Madaus Drop Homeopathic Medicine,bottle of 25 ml Drop,Adel Pekana Germany,Not Required,₹512,"(['Pack of 2', '₹990'], ['Pack of 3', '₹1452'])",https://www.1mg.com/otc/adel-diacard-gold-madaus-drop-homeopathic-medicine-otc326050,"ADEL Diacard Gold MadausDrop Homeopathic Medicineare based on the findings obtained with homoeopathic drugs. Adel homeopathy include functional heart complaints in general autonomic liability. Diacard gold drops helps a nervous heart caused due to emotionally being upset or stressful.Key Ingredients:ValerianaAether sulfuricusAurum chloratum natronatumCamphoraCactus grandiflorusStrophanthus gratusCrataegus QSucroseEthanolKey Benefits:Diacard gold drops madaus helps to strengthens the heart and helps to maintain the quality of lifeHelps too control mild to moderate hypertension and high cholesterol and circulatory instabilityDiacard gold drops reduces the feeling of tiredness and restlessnessIt helps to control the feeling of fatigue, fainting and continuous throbbing of heartHelps to reduce the irregular heartbeat due to agitation, anxiety, exertion, or illnessDiacard gold drops helps to treat angina pectoris, a type of chest pain caused by reduced blood flow to the heartHelps to reduce the toxic effects of alcohol and/or tobacco on the heartDirections For UseUnless otherwise directed, adults and children above the age of 6 years take 20 drops three times daily. Diacard should be taken before meals on some sugar or especially recommended in the evenings, 1 tablespoonful of water. Or as directed by the physician.Safety Information:Read the label carefully before useKeep out of reach of the childrenStore in a cool dry place away from direct sunlightUse under medical supervision", -> Home -> Health Conditions -> Heart Care,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/cropped/n8ss6jg5ureelxa9slnj.jpg"
6,Wellbeing Nutrition Slow Fertility Support for Men Capsule,bottle of 60 capsules,Nutritionalab Pvt Ltd,Not Required,₹1319,"(['No Offer Price'], [' '])",https://www.1mg.com/otc/wellbeing-nutrition-slow-fertility-support-for-men-capsule-otc736749,"Wellbeing Nutrition Slow Fertility Support for Men Capsule contains vitamins that are essential to support sperm count & motility, helping in conception. It also contains phosphatidylserine and magnesium that helps in nurturing and preparing the body at a cellular level for vitality. It also has antioxidants that may protect the body from free radical damage that contributes to fertility issues & support immune health.Key ingredients:Vitamin B1, B2, B3, B6, B7, B9, B12PhosphtidyserineMagnesiumAshwagandha ExtractVegan DHASpirulina ExtractVitamin EKey Benefits:It helps to improve stamina and sperm countIt can also strengthen the immunity and reduce inflammationIt supports conception and can regularise hormonesAshwagandha and DHA keep a check on hormones, inflammation and staminaDirections For Use:One capsule per day or as advised by the healthcare professional.Safety Information: Do not exceed the recommended dosageStore in a cool and dry placeRead the label carefully before use", -> Home -> Vitamins & Nutrition -> Vitamins & Supplements -> Mineral Supplements,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/ulkumantuemxjuojfn1k.jpg"
7,Limcee Chewable Tablet Orange,strip of 15 Chewable Tablets,Abbott,Not Required,₹22,"(['No Offer Price'], [' '])",https://www.1mg.com/otc/limcee-chewable-tablet-orange-otc173959,"Limcee Tablet is a supplement of vitamin C (Ascorbic acid) that restores the nutritional deficiency of vitamin C in the body and helps in improving the overall health of an individual. Vitamin C is a known antioxidant that helps maintain healthy skin, teeth, bone, and blood vessels. It also protects the cells of your body from damage. This medicine is used if your diet does not provide enough vitamin C as well as to treat certain conditions caused due to vitamin C deficiency in the body. Low level of vitamin C is often associated with infections, bleeding gums, scurvy, poor wound healing, muscle degeneration, and nerve damage. Scurvy is a condition characterized by general weakness, anaemia, gingivitis (gum disease), and skin haemorrhages caused by a prolonged deficiency of vitamin C in the diet. This medicine may be only part of a complete program of treatment that also includes making changes to your diet and taking other vitamin supplements. Learn about the foods you should eat to make sure you get enough vitamin C in your diet. You should not take more or use it for longer than recommended.Limcee Tablet is generally safe with little or no side effects. Before taking this medicine, let your doctor know about any other medicines that you are taking. Some other medicines can decrease the absorption of vitamin C or interact with it. It is important to ask advice from the doctor before you take any other vitamin supplements.Composition of Limcee Tablet:Vitamin C / Ascorbic acidUses and benefits of Limcee Tablet:Vitamin C deficiency: It helps in the prevention and treatment of vitamin C deficiency and its associated symptoms and conditions such as scurvyAntioxidant: It protects the body from various harmful effects of free radicals, pollutants, and toxinsImmunity booster: It boosts your immunity and improves the response of the human body to infections. This helps you lead a more healthy, disease-free, and better quality of lifeHealthy skin: It can be taken in better management of skin problems such as acne or pimples. It makes your skin look younger and helps reduce the ageing of the skinWound healing: It promotes wound healing and skin repairIron absorption: It enhances the absorption of iron from foodNutritional supplement: It may be used as a nutritional supplement in disorders like diabetes, stroke, heart diseases, and eye diseases among othersSide Effects of Limcee Tablet:Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Let your doctor know if they continue or bother you.NauseaVomitingDiarrhoeaStomach painHeartburnHow to take Limcee Tablet:This medicine is to be taken by mouth. Chew it completely before swallowing. Check the label for directions before taking it. Take it with or without food, but it is better to take it at a fixed time. If it upsets your stomach take it with food. Do not take it more often than directed.Quick Tips:Take a good diet. Some foods that are rich in vitamin C include amla, citrus fruits like orange, kiwi, lemon, guava, papaya, and vegetables such as broccoli, cabbage, capsicum, tomatoes, and other leafy vegetablesTake the medicine at the same time every day to help you remember to take it. Follow your doctor’s instructions carefully to get the most out of this medicationDo not use Limcee tablet if you are allergic to it or any of its ingredientsTell your doctor about all the medicines you are taking as they may affect or be affected by this medicineIf you are pregnant, planning to conceive or breastfeeding, consult your doctor before taking itStorage:Store at room temperature (not exceeding 25°C)Protect from moistureKeep out of reach of childrenFAQs:Q. What is Limcee tablet used for?Limcee tablet is a nutritional supplement that contains vitamin C. It helps in growth, development, and tissue repair thereby maintaining the overall health and well-being. It is also an excellent antioxidant and immunity booster. It neutralizes the damage caused by harmful chemicals and improves the response of the human body to infections. Additionally, it promotes the dietary absorption of iron in the body, promotes wound healing, and helps in maintaining healthy skin. It is also generally recommended for lactating mothers and pregnant women. Q. Can I take Limcee tablet daily?The recommended daily amount for vitamin C is 65 to 90 mg a day, and the safe uppermost limit is 2,000 mg a day. Many studies suggest that taking 500 mg daily is safe. However, exceeding the recommended dosage can be harmful. Talk to your doctor before taking any supplements.Q. What if I forget to take a dose of Limcee Tablet?If you forget a dose, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take the next scheduled dose in the prescribed time. Do not double the dose to make up for the missed one as this may increase the chances of developing side effects.Q. Is Limcee Tablet safe?Yes, if used in the dose and duration advised by your doctor, Limcee tablet is safe. Take it exactly as directed. Follow your doctor's instructions carefully and let your doctor know if any of the side effects bother you.Q. Is Limcee Tablet good for skin?Yes, it is good for skin related problems such as acne and pimples. Additionally, it promotes healthy, younger-looking skin and reduces the formation of wrinkles.Q. Is Limcee Tablet a prescription medicine?No, it is not a prescription medicine, which means it is available over the counter. However, please consult your doctor regarding its use to get the maximum benefit.", -> Home -> Featured -> Winter Care -> Cough & Cold,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/cropped/grnlvnbgtzcoehyotnnt.jpg"
8,Vicco Vajradanti Ayurvedic Medicine for Gums and Teeth Regular,tube of 200 gm Toothpaste,Vicco Laboratories,Not Required,₹119,"(['No Offer Price'], [' '])",https://www.1mg.com/otc/vicco-vajradanti-ayurvedic-medicine-for-gums-and-teeth-regular-otc325157,"Vicco Vajradanti Toothpaste contains babhul, lavang, and bakul, Babhul works as an astringent on the gums. Vicco toothpaste is made with herbal components and is easy for people to tolerate. It makes teeth white and gums healthy with regular use. Key Ingredients: BabhulLavangBakulKey Benefits:Bakul is added to strengthen teeth and gumsLavang is added in the ayurvedic toothpaste to control tooth decay and reduce bad breathProvides protection from 7 dental problems: cavities, gingivitis, plaque, toothache, bad breath and yellow teethFights with germs and bacterias to reduce tartar and plaqueDirections For Use:Clean a soft/medium bristle toothbrush under running waterApply a generous amount of toothpaste on the toothbrushBrush teeth for at least 2 minutesGently brush over the sensitive areasSafety Information:Read the label carefully before useStore in a cool dry placeKeep out of reach of the childrenUse under medical supervision", -> Home -> Personal Care -> Oral Care,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/crek91ivebjwe2tc6wal.jpg"
9,Dr. Reckeweg Kali Phosphoricum Biochemic Tablet 6X,bottle of 20 gm Biochemic Tablet,Dr Reckeweg & Co,Not Required,₹163,"(['Pack of 2', '₹314.5'], ['Pack of 3', '₹460.65'])",https://www.1mg.com/otc/dr.-reckeweg-kali-phosphoricum-biochemic-tablet-6x-otc334909,"Dr. Reckeweg Kali Phosphoricum Biochemic Tablet 6X aids in the reduction of mental stress and anxiety. It helps to increase stamina, improve nerve function, relieve menstrual discomfort, and manage urological issues. It also deals with gastrointestinal issues such as hard stools, diarrhoea, and cholera, as well as reducing excessive sweating.Key Ingredients:

Kali Phosphoricum

Key Benefits:

Dr. Reckeweg Kali Phosphoricum Biochemic Tablet 6X is beneficial for reducing mental stress and anxiety


It helps in enhancing stamina. It improves nerve functioning, soothes menstrual problems and manages urological issues


It also deals with gastrointestinal problems such as hard stools, diarrhoea and cholera and reduces excess sweating

Directions For Use:Use as directed on the label or as advised by the physician.Safety Information:

Read the label carefully before use


Do not exceed the recommended dosage


Store in a cool and dry place away from direct sunlight


Keep out of reach of children
", -> Home -> Health Conditions -> Stomach Care,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/nf44m3snxzrafy1yoolw.jpg"
